UF,AC
Cidade,CRUZEIRO DO SUL
Nome Posto,SERRA DO MOA
Latitude,-7.435555555555556
Longitude,-73.65222222222222
Codigo,773000
Qtd. Anos,44
Ano,Maxima
1976,119.4
1977,104.2
1978,104.2
1979,119.2
1980,91.2
1981,75.2
1982,90.4
1983,87.1
1984,75
1985,118.6
1986,96.1
1987,93.4
1988,175
1989,90.1
1990,104
1991,97.2
1992,56.2
1993,114.4
1994,56.4
1995,89.5
1996,77.5
1997,86.3
1998,57.2
1999,71.5
2000,75.1
2001,59.5
2002,71.2
2003,75.3
2004,73.2
2005,48.5
2006,91.5
2007,63.8
2008,82.5
2009,95.9
2010,98.5
2011,92.4
2012,35.6
2013,72.9
2014,55.2
2015,95.7
2016,72.7
2017,75.3
2018,162.6
2019,88.5
