UF,AL
Cidade,DELMIRO GOUVEIA
Nome Posto,DELMIRO GOUVEIA
Latitude,-9.392777777777777
Longitude,-37.994166666666665
Codigo,937013
Qtd. Anos,82
Ano,Maxima
1936,42.5
1937,148
1938,51
1939,61
1940,48
1941,70
1942,61.5
1943,35.5
1944,94.5
1945,69
1946,30.3
1947,63.6
1948,56.2
1949,37.5
1950,70
1951,44.5
1952,62
1953,27.5
1954,29.7
1955,58
1956,91
1957,120
1958,30
1959,44
1960,53
1961,53
1962,85.5
1963,54
1964,95
1965,60
1966,48
1967,68
1968,43.4
1969,77
1970,34.5
1971,48
1972,44
1973,60
1974,46
1975,62
1977,53.4
1979,56.6
1980,63
1981,91.6
1982,36.5
1983,86.2
1984,41.4
1985,108
1986,64.8
1987,46.8
1988,28.4
1989,65.2
1990,37.4
1991,111
1992,52.2
1993,42.2
1994,58
1995,66.4
1996,43.5
1997,61.8
1998,18.1
1999,121.3
2000,90.5
2001,89.3
2002,51.2
2003,90.5
2004,93.3
2005,109.1
2006,39.5
2007,55.5
2008,78.2
2009,67.9
2010,43.6
2011,79.3
2012,39.1
2013,35.5
2014,74.4
2015,29.9
2016,55.9
2017,29.9
2018,75.5
2019,56.9
