UF,AM
Cidade,CARAUARI
Nome Posto,SANTOS DUMONT
Latitude,-6.441666666666667
Longitude,-68.24388888888889
Codigo,668000
Qtd. Anos,44
Ano,Maxima
1977,81.2
1978,141.4
1979,151.8
1980,148
1981,85
1982,112
1983,82
1984,150.2
1985,112
1986,75
1987,95
1988,95
1989,109
1990,93
1991,125
1992,131.1
1993,79.3
1994,86.8
1995,112.8
1996,101.4
1997,85.6
1998,82
1999,86
2000,91.5
2001,128.3
2002,67
2003,63.5
2004,112.1
2005,90.4
2006,91.2
2007,89.1
2008,86.1
2009,98.8
2010,91.2
2011,96.1
2012,112.7
2013,99.8
2014,93.1
2015,97.6
2016,55.4
2017,101
2018,121.1
2019,91.4
2020,76
