UF,AP
Cidade,TARTARUGALZINHO
Nome Posto,APOREMA
Latitude,0.7738888888888888
Longitude,-50.89722222222222
Codigo,8150000
Qtd. Anos,45
Ano,Maxima
1975,92.8
1976,73.2
1977,73.2
1978,84.1
1979,64.7
1980,70.3
1981,80
1982,111.2
1983,65.6
1984,62.8
1985,88.7
1986,96.5
1987,69.1
1988,106.7
1989,93.8
1990,112.8
1991,133.3
1992,118.6
1993,40.8
1994,93.1
1995,128.8
1996,105.5
1997,61.5
1998,88.2
1999,64.1
2000,98.8
2001,101.6
2002,105.4
2003,73
2004,78
2005,75.6
2006,112.3
2007,58.2
2008,71.1
2009,105.6
2010,121.7
2011,97.6
2012,47.2
2013,86.3
2014,64.6
2015,96.5
2016,85.5
2017,77.2
2018,90.8
2019,83.6
