UF,BA
Cidade,MORRO DO CHAPEU
Nome Posto,VENTURA
Latitude,-11.643055555555556
Longitude,-40.94611111111111
Codigo,1140026
Qtd. Anos,63
Ano,Maxima
1943,29
1944,50.7
1945,73.5
1946,19
1947,40.8
1948,39.3
1949,25.3
1950,34
1951,36
1952,43.4
1953,28.6
1954,28.2
1955,22.4
1956,28.2
1957,21.4
1958,72.4
1959,18.2
1960,32
1961,21.2
1962,77.5
1963,88
1964,83.2
1965,50.8
1966,54.2
1967,64.3
1968,55.4
1969,46.4
1970,39
1971,35.4
1972,42.2
1973,65.2
1974,64
1975,51.8
1976,37.2
1977,48.6
1978,55.4
1979,49
1980,56.2
1981,53.6
1982,35.2
1983,52.4
1984,53.4
1985,32.4
1986,21.2
1987,30.3
1988,47.2
1989,28.4
1990,33.5
1991,66.5
1993,3
1994,57.1
2000,5
2001,11.3
2002,29
2003,51.8
2004,46
2005,42.5
2006,112
2008,12
2009,31
2012,36.3
2013,44.3
2014,19.3
