UF,CE
Cidade,AIUABA
Nome Posto,AIUABA
Latitude,-6.566666666666666
Longitude,-40.11666666666667
Codigo,640019
Qtd. Anos,89
Ano,Maxima
1932,22.7
1933,42.7
1934,48.3
1935,63.2
1936,58.6
1937,65.3
1938,34.6
1939,136
1940,57.5
1941,53.5
1942,35.4
1943,12.4
1944,52.3
1945,43.6
1946,59.3
1947,53.8
1948,39
1949,43
1950,49.2
1951,40
1952,42.7
1953,40.6
1954,60
1955,50
1956,65.8
1957,66.5
1958,49.2
1959,38
1960,66.3
1961,65
1962,41.2
1963,70.4
1964,58
1965,45.2
1966,67.2
1967,53.8
1968,69.8
1969,73.2
1970,81
1971,55.3
1972,63.2
1973,44
1974,101.4
1975,36.8
1976,52.8
1977,46
1978,50.4
1979,56
1980,54.5
1981,161.4
1982,112
1983,56
1984,91
1985,93.2
1986,85.8
1987,61.2
1988,58.5
1989,54.4
1990,36.2
1991,62.2
1992,76
1993,42
1994,137
1995,45
1996,50
1997,78
1998,43
1999,97
2000,122
2001,20
2002,86.5
2003,55
2004,92
2005,115.4
2006,50
2007,75
2008,43
2009,75
2010,77.4
2011,88
2012,74
2013,33.2
2014,78
2015,106.4
2016,64
2017,75
2018,58.3
2019,55
2020,80.2
