UF,DF
Cidade,BRASILIA
Nome Posto,ETE NORTE
Latitude,-15.743333333333332
Longitude,-47.87722222222222
Codigo,1547009
Qtd. Anos,49
Ano,Maxima
1971,56
1972,103.2
1973,68.8
1974,52.9
1975,58.9
1976,118.4
1977,92.5
1978,53.6
1979,105.2
1980,54.4
1981,96.4
1982,82.5
1983,79.6
1984,128.4
1985,73.6
1986,83.2
1987,105.5
1988,58.2
1989,84.8
1990,67.2
1991,68.6
1992,51.8
1993,59.6
1994,75.2
1995,60.4
1996,50.4
1997,74
1998,58
1999,66
2000,105.8
2001,62
2002,54.2
2003,46.2
2004,52
2005,74
2006,68.8
2007,44.8
2008,72.4
2009,60.4
2010,54.8
2011,67.7
2012,108.8
2013,55
2014,92
2015,46
2016,91.2
2017,69.2
2018,56.2
2019,82.2
