UF,ES
Cidade,SAO MATEUS
Nome Posto,ITAUNINHAS
Latitude,-18.489444444444445
Longitude,-40.09055555555556
Codigo,1840003
Qtd. Anos,71
Ano,Maxima
1947,114.3
1948,145.3
1949,85
1950,59.1
1951,41
1952,108.3
1953,81
1956,37.4
1957,47.7
1958,67
1959,77
1960,76
1961,67
1962,78.4
1963,50
1964,129
1965,73.4
1966,76.2
1967,60.2
1968,122
1969,114
1970,100
1971,68.1
1972,100.4
1973,54
1974,35.8
1975,57.4
1976,89.4
1977,65.2
1978,89.4
1979,107.8
1980,78.2
1981,56
1982,85.8
1983,80.8
1984,58
1985,103
1986,49
1987,68
1988,77
1989,54.4
1990,93.4
1991,57
1992,100
1993,71.6
1994,95
1995,79.2
1996,75.4
1997,53.6
1998,65.6
1999,143.6
2000,108.4
2001,84
2002,91.3
2003,139.3
2004,135
2005,90.8
2006,67.7
2007,63
2008,74.9
2009,120.1
2010,95.5
2011,76.7
2012,78.8
2013,85.1
2014,81.8
2015,106
2016,112.2
2017,51.4
2018,79.2
2019,78.8
