UF,GO
Cidade,EDEIA
Nome Posto,BARRA DO MONJOLO
Latitude,-17.73222222222222
Longitude,-50.18083333333333
Codigo,1750000
Qtd. Anos,49
Ano,Maxima
1971,58
1972,107.2
1973,33
1974,71.4
1975,96.6
1976,68
1977,54.2
1978,95.2
1979,64.8
1980,89.2
1981,78.8
1982,58.6
1983,79.2
1984,46.2
1985,62.6
1986,117.2
1987,123
1988,111.6
1989,85
1990,119
1991,94
1992,94.3
1993,126
1994,140
1995,131
1996,80
1997,56.2
1998,112.5
1999,97.1
2000,120
2001,103.8
2002,75.3
2003,55.6
2004,82.1
2005,98.7
2006,99.5
2007,76.1
2008,110.2
2009,79
2010,118.2
2011,102.9
2012,49.5
2013,95.3
2014,54.6
2015,46.9
2016,66.1
2017,51.1
2018,47.7
2019,105.5
