UF,MA
Cidade,NINA RODRIGUES
Nome Posto,NINA RODRIGUES
Latitude,-3.4594444444444448
Longitude,-43.89888888888889
Codigo,343003
Qtd. Anos,52
Ano,Maxima
1968,33
1969,75.5
1970,92.2
1971,83.6
1972,145
1973,86.2
1974,76.8
1975,62.4
1976,45.6
1977,110.8
1978,145.2
1979,77.4
1980,95.2
1981,125.5
1982,73.2
1983,53.2
1984,70.8
1985,88
1986,94.4
1987,60
1988,82.4
1989,888
1990,79.6
1991,77.4
1992,45
1993,82.6
1994,77.4
1995,77.4
1996,173
1997,101
1998,67.2
1999,105.4
2000,122.5
2001,121.5
2002,56.1
2003,92.9
2004,99.6
2005,61.3
2006,67.1
2007,71.2
2008,71.6
2009,89
2010,69.7
2011,79.7
2012,56
2013,93.9
2014,71.1
2015,79.4
2016,117.8
2017,120.6
2018,77.1
2019,77.8
