UF,MG
Cidade,SANTO ANTONIO DO AMPARO
Nome Posto,SANTO ANTONIO DO AMPARO
Latitude,-20.944166666666668
Longitude,-44.9075
Codigo,2044037
Qtd. Anos,45
Ano,Maxima
1975,52.4
1976,47.2
1977,60
1978,47
1979,61
1980,73
1981,76
1982,77.9
1983,79
1984,65
1985,87
1986,70
1987,68.2
1988,61.2
1989,57
1990,67
1991,93
1992,191.4
1993,76
1994,95
1995,80.4
1996,190
1997,368
1998,82.6
1999,75
2000,120.5
2001,102.7
2002,69.1
2003,51.2
2004,82.1
2005,56.2
2006,57.3
2007,43.8
2008,76.7
2009,87.9
2010,71.1
2011,97
2012,57.6
2013,70.6
2014,65.6
2015,55
2016,80
2017,72.7
2018,106.2
2019,66.3
