UF,MS
Cidade,BELA VISTA
Nome Posto,BELA VISTA
Latitude,-22.110000000000003
Longitude,-56.527499999999996
Codigo,2256001
Qtd. Anos,40
Ano,Maxima
1969,76.8
1970,74.8
1971,120.5
1972,96.6
1976,139.2
1977,58.4
1978,127.4
1979,97
1980,74
1981,100.4
1982,112.4
1983,106.6
1989,49
1993,149
1994,105
1995,100
1996,106.3
1997,150
1998,166
1999,83
2000,115
2001,126.5
2002,111.6
2003,113.1
2004,81.4
2005,90
2006,64.1
2007,79.1
2008,84.1
2009,92.3
2010,130.1
2011,94.9
2012,112.2
2013,124.6
2014,133.3
2015,94.1
2016,87.8
2017,82.2
2018,101.9
2019,67.8
