UF,MT
Cidade,JUINA
Nome Posto,FONTANILHAS
Latitude,-11.341666666666667
Longitude,-58.33833333333334
Codigo,1158001
Qtd. Anos,41
Ano,Maxima
1979,110
1980,95.6
1981,76.5
1982,138.2
1983,158.3
1984,97.4
1985,95
1986,66.2
1987,65
1988,102.2
1989,81
1990,137.1
1991,45.5
1992,59.9
1993,91
1994,78.9
1995,92.7
1996,70.5
1997,129
1998,87.3
1999,92.5
2000,72.9
2001,72.9
2002,141.6
2003,69.6
2004,58.3
2005,119.5
2006,133.2
2007,75.7
2008,66
2009,115.5
2010,101.1
2011,117.1
2012,54.7
2013,66.2
2014,74.8
2015,69.5
2016,132.3
2017,73.5
2018,70.6
2019,66.9
