UF,PA
Cidade,BAGRE
Nome Posto,VILA SAO BENEDITO
Latitude,-1.9916666666666667
Longitude,-50.368611111111115
Codigo,250001
Qtd. Anos,38
Ano,Maxima
1982,89.6
1983,91.4
1984,82.4
1985,120
1986,138.7
1987,96.2
1988,122
1989,95.4
1990,87.2
1991,106.2
1992,88.2
1993,69.6
1994,94.8
1995,95.2
1996,66.7
1997,75.3
1998,91.8
1999,95.2
2000,85.3
2001,79.1
2002,73.1
2003,68
2004,72
2005,98
2006,119.1
2007,61
2008,89
2009,154
2010,96.5
2011,83.3
2012,160.1
2013,102.5
2014,156.7
2015,83.3
2016,121.5
2017,86.3
2018,99.5
2019,83.5
