UF,PB
Cidade,INGA
Nome Posto,INGA
Latitude,-7.283333333333333
Longitude,-35.61666666666667
Codigo,735017
Qtd. Anos,81
Ano,Maxima
1910,35.8
1911,42.8
1912,72.2
1913,65.7
1914,58.9
1915,53.3
1916,44.3
1917,75
1918,38
1919,44.5
1920,68.2
1921,50
1922,49
1923,37.5
1924,123.7
1925,30.8
1926,66.5
1927,54
1928,53
1929,49.3
1930,29.7
1931,65.7
1932,23.5
1933,35
1934,60.6
1935,67.5
1936,52.5
1937,52.3
1938,25
1939,131
1940,50
1941,60.5
1942,30
1943,64
1944,33.6
1945,116
1946,42
1947,27
1948,51.6
1949,38.5
1950,43.2
1951,46.2
1952,84
1953,60
1954,36.5
1955,36.9
1956,76
1957,36.3
1958,26.4
1959,54.5
1960,93
1961,65.8
1962,39
1963,33.8
1964,70
1965,40
1966,52
1967,21.5
1968,34
1969,53
1970,57.4
1971,54.4
1972,40.5
1973,41
1974,48.2
1975,50
1976,61
1977,58.5
1978,113
1979,45
1980,58.5
1981,76
1982,34.4
1983,32
1984,64
1985,89
1986,43
1987,62
1988,64.5
1993,42.2
1994,4.5
