UF,PE
Cidade,TAQUARITINGA DO NORTE
Nome Posto,TAQUARITINGA DO NORTE
Latitude,-7.9
Longitude,-36.05
Codigo,736031
Qtd. Anos,63
Ano,Maxima
1912,90.2
1913,42.3
1914,66.7
1915,66.1
1916,71.2
1962,39.1
1963,100
1964,80
1965,50.8
1966,54
1967,30.2
1968,28.3
1969,82.9
1970,93.3
1971,189.2
1972,73.2
1973,77.3
1974,120.3
1975,287
1976,84.6
1977,200
1978,75.4
1979,55.6
1980,61
1981,93.2
1982,60.8
1983,60.4
1984,72
1985,98
1986,73
1987,73
1988,75.2
1989,101.2
1990,95
1991,50.4
1992,76
1993,56.4
1994,78.2
1995,52
1996,54
1997,74.2
1998,36
1999,121
2000,54.2
2001,95.2
2002,84
2003,47.6
2004,64
2005,81.4
2006,70
2007,51.4
2008,71.8
2009,70.4
2010,121.2
2011,75.8
2012,38.8
2013,50.2
2014,56.8
2015,36.2
2016,32.2
2017,41.6
2018,59.8
2019,52.6
