UF,PI
Cidade,PORTO
Nome Posto,PORTO
Latitude,-3.9
Longitude,-42.71666666666667
Codigo,342006
Qtd. Anos,77
Ano,Maxima
1924,73.7
1925,73.7
1926,66.2
1927,74.1
1928,61.8
1929,73.7
1930,66.2
1931,68.6
1932,78.6
1933,75.6
1934,65.5
1937,72.2
1938,66
1939,62.2
1940,37.5
1941,50.3
1942,47.8
1943,28.4
1944,56
1945,36.3
1946,30.5
1947,31.2
1948,38
1949,58.9
1950,81.4
1951,75.5
1952,70.6
1953,65.4
1954,68.8
1955,75.7
1956,68.8
1957,64.6
1958,58.8
1959,65.4
1960,150
1961,90.2
1962,89.6
1963,127.6
1964,84.4
1965,70.8
1966,122.1
1967,71
1968,81.2
1969,115.2
1970,113.1
1971,101.8
1972,68.6
1973,73.2
1974,88.9
1975,117.5
1976,138.4
1977,218.4
1978,81.8
1979,75.8
1980,90.9
1981,85.6
1982,96.9
1983,73.8
1984,79
1985,81.7
1986,121.7
1987,136.9
1988,120.3
1989,128.4
1990,93.8
1991,88.8
1992,88.4
1993,118.4
1994,110
1995,85.5
1996,100
1997,81
1998,85
1999,86.5
2000,75.5
2001,114
2002,120
