UF,PR
Cidade,JAPIRA
Nome Posto,JAPIRA
Latitude,-23.816666666666666
Longitude,-50.13305555555556
Codigo,2350046
Qtd. Anos,38
Ano,Maxima
1979,65
1980,64.4
1981,82
1982,69.6
1983,62.8
1984,84.4
1985,57
1986,103.2
1987,82.6
1988,80.8
1989,115.2
1990,88.6
1991,56.6
1992,61
1993,75.4
1994,76.1
1995,101.7
1996,67.8
1997,84.7
1998,77.1
1999,84.7
2000,119.5
2001,96.8
2002,138.5
2003,92.6
2004,84.2
2005,143.6
2006,63.2
2007,94.3
2008,68.7
2009,67.8
2010,211.5
2011,70.1
2012,129.7
2013,69.6
2014,119.6
2015,105.5
2017,67.7
