UF,RJ
Cidade,SAO FIDELIS
Nome Posto,DOIS RIOS
Latitude,-21.643333333333334
Longitude,-41.85861111111111
Codigo,2141006
Qtd. Anos,82
Ano,Maxima
1939,52.3
1940,65
1941,54.4
1942,61.3
1943,48.2
1944,44.2
1945,74.2
1946,64.2
1947,79.2
1948,54.2
1949,41.1
1950,58.4
1951,108.4
1952,56.4
1953,61.2
1954,52.4
1955,58.1
1956,41.4
1957,89.3
1958,40.3
1959,61
1960,62.4
1961,88.1
1962,80.2
1963,46.2
1964,96.4
1965,82.2
1966,82.2
1967,78.6
1968,81
1969,68
1970,61.2
1971,82.6
1972,61.6
1973,72.2
1974,45.4
1975,57.2
1976,88.2
1977,52.6
1978,68.4
1979,70.6
1980,99.4
1981,74.4
1982,51.8
1983,68.4
1984,63.2
1985,53
1986,50.6
1987,58.3
1988,84.7
1989,60.6
1990,70.6
1991,70.2
1992,50.7
1993,50.8
1994,40.8
1995,80.5
1996,50.3
1997,60.8
1998,60.6
1999,40.6
2000,73
2001,53.4
2002,74.3
2003,96.5
2004,58.5
2005,93.1
2006,78.4
2007,96.4
2008,104.3
2009,145.3
2010,40.4
2011,76.4
2012,78.3
2013,66.3
2014,67.3
2015,43.4
2016,57.4
2017,63.2
2018,70.1
2019,79.2
2020,45.3
