UF,RN
Cidade,TOUROS
Nome Posto,TOUROS
Latitude,-5.2
Longitude,-35.46666666666667
Codigo,535021
Qtd. Anos,82
Ano,Maxima
1910,9.4
1911,87.4
1912,67.2
1913,108.3
1914,107.3
1915,66.6
1916,80
1917,63.4
1918,70
1919,63
1920,71.5
1921,66.6
1922,67.5
1923,78
1924,19.5
1925,53
1926,65
1927,66.4
1928,60.5
1929,66.8
1930,60.2
1931,69.4
1932,68.4
1933,67.1
1934,71.4
1935,68.2
1936,60.2
1937,58.3
1938,97.2
1939,62
1940,109.5
1941,97.3
1942,134.4
1943,72.9
1944,49.2
1945,60
1946,72.8
1947,104
1948,59.6
1949,55.3
1950,92.2
1951,82
1952,48
1953,69.2
1954,158.1
1955,94.5
1956,62
1957,94
1958,46.2
1959,90.2
1960,63.1
1961,53.6
1962,52.2
1963,68.8
1964,108
1965,78.2
1966,63.2
1967,135.2
1968,131
1969,100
1970,50
1971,60.3
1972,92
1973,74.4
1974,160.2
1975,82.3
1976,66.2
1977,148.2
1978,76.3
1979,118.4
1980,88.3
1981,145
1982,66.2
1983,143.2
1984,83.2
1985,120.2
1986,109.2
1987,85.2
1988,131.3
1989,135.6
1990,46.2
1991,75.3
