UF,RO
Cidade,PIMENTA BUENO
Nome Posto,MARCO RONDON
Latitude,-12.015277777777778
Longitude,-60.855000000000004
Codigo,1160000
Qtd. Anos,43
Ano,Maxima
1977,108.4
1978,156
1979,168
1980,100.6
1981,85.3
1982,114
1983,117
1984,115
1985,73
1986,98
1987,131.6
1988,76.2
1989,35.4
1990,45.2
1991,76.8
1992,78.3
1993,112.9
1994,90
1995,160
1996,132.3
1997,91.3
1998,173.4
1999,91.1
2000,74.3
2001,91.3
2002,82.3
2003,60
2004,87.8
2005,69
2006,98.1
2007,90.5
2008,116.5
2009,137.7
2010,77.6
2011,95.5
2012,97.5
2013,129.5
2014,80.2
2015,88.4
2016,72.8
2017,94.5
2018,175
2019,71.7
