UF,RR
Cidade,PACARAIMA
Nome Posto,NOVA ESPERANCA/MARCO BV-8
Latitude,3.5116666666666667
Longitude,-61.12972222222222
Codigo,8461000
Qtd. Anos,35
Ano,Maxima
1984,105
1985,100.8
1986,134
1987,80
1988,187
1989,86.5
1990,55.7
1991,34.1
1992,143.2
1993,155
1994,128
1995,105.7
1996,98
1997,78.7
1998,125
1999,122.3
2000,85.9
2001,120
2002,108.5
2003,87.2
2004,65.6
2005,112.9
2006,137.3
2007,99.5
2008,80.8
2009,71.1
2010,96.4
2011,84.6
2012,81.7
2013,72.6
2014,67.3
2015,65
2017,123.4
2018,74.1
2019,107.4
