UF,RS
Cidade,GIRUA
Nome Posto,GIRUA
Latitude,-28.054166666666667
Longitude,-54.36138888888889
Codigo,2854003
Qtd. Anos,78
Ano,Maxima
1943,83.3
1944,127
1945,118.4
1946,100.4
1947,95.3
1948,64
1949,100.5
1950,117
1951,142.2
1952,94
1953,54
1954,24
1955,11.2
1956,23
1957,11.2
1958,33
1959,10.5
1960,23.4
1961,39.8
1962,18.4
1963,15.1
1964,25.4
1965,25.2
1966,25
1967,25
1968,25
1969,90
1970,60.4
1971,143.1
1972,237.4
1973,128
1974,111
1975,83.2
1976,42
1977,100.3
1978,76.5
1979,99.4
1980,100
1981,87
1982,93
1983,107
1984,84.3
1985,91.3
1986,115.3
1987,90.2
1988,57.2
1989,102.3
1990,99.1
1991,70.3
1992,120
1993,98
1994,80.8
1995,97.8
1996,85.3
1997,122.7
1998,94.1
1999,86.5
2000,100.3
2001,74.5
2002,108.5
2003,194.5
2004,60.3
2005,90.1
2006,78.1
2007,146.5
2008,95.2
2009,145.4
2010,114.3
2011,119.5
2012,120.7
2013,113.7
2014,134.4
2015,106.4
2016,145.3
2017,148.8
2018,91.3
2019,88.6
2020,47.5
