UF,SC
Cidade,PALHOCA
Nome Posto,ETA CASAN-MONTANTE
Latitude,-27.6925
Longitude,-48.71083333333333
Codigo,2748004
Qtd. Anos,40
Ano,Maxima
1945,52.2
1946,49.6
1947,81.6
1948,69.4
1949,75.4
1950,77.6
1951,102.5
1952,72
1953,58.6
1989,110
1990,81
1991,74.6
1992,124.5
1993,97.1
1994,81.3
1995,61.2
1996,65.8
1997,117
1998,193.5
1999,67
2000,126.1
2001,158.4
2002,68.5
2003,78.2
2004,88.2
2005,100.3
2006,111.7
2007,78.8
2008,178.4
2009,110.3
2010,148.2
2011,116.5
2012,48.1
2013,108.6
2014,122.6
2015,102.2
2016,136.2
2017,165.6
2018,148
2019,119.4
