UF,SE
Cidade,AQUIDABA
Nome Posto,AQUIDABA
Latitude,-10.266666666666667
Longitude,-37.03333333333333
Codigo,1037003
Qtd. Anos,74
Ano,Maxima
1912,61.7
1913,56.2
1914,39.3
1915,72.2
1916,66.5
1917,42.8
1918,48.2
1919,30.8
1920,74.5
1921,66.5
1922,60.3
1924,43.5
1925,61.3
1926,80
1927,50
1928,39.8
1929,61
1930,70
1931,35
1932,30.2
1933,63
1934,76
1935,36
1936,64
1937,24.4
1938,28
1939,38
1940,45
1941,30
1942,54.4
1943,24.4
1944,65
1945,100
1946,59.4
1947,84
1948,130
1949,100
1950,50.4
1951,81.3
1952,30
1953,60
1954,39
1955,117
1956,54
1957,64
1958,59
1959,5.9
1960,64
1961,46
1962,31.5
1963,66.6
1964,151.3
1965,42.9
1966,75
1967,128.1
1969,61.1
1970,82.4
1971,42.8
1972,54.1
1973,93
1974,44.2
1975,64
1976,40.4
1977,126.2
1978,110.8
1979,84.3
1980,51
1981,62
1982,40.4
1983,68.8
1984,54
1991,104
1996,32
1997,32
