UF,SP
Cidade,CATANDUVA
Nome Posto,CATANDUVA
Latitude,-21.133333333333333
Longitude,-48.96666666666667
Codigo,2148054
Qtd. Anos,37
Ano,Maxima
1961,58.3
1962,67.6
1963,64
1964,66.4
1965,66.4
1966,64
1967,78
1968,51
1969,108.3
1970,89.3
1972,71.7
1973,80.8
1974,87.1
1975,129.4
1976,141.8
1977,90.1
1978,57
1979,149.4
1980,71.2
1981,61.8
1982,82.4
1983,171.5
1984,81.8
1985,66.8
1986,92.4
1987,59
1988,100.6
1989,122.5
1990,46.2
1991,95.8
1992,87.6
1993,93.8
1994,39.8
1995,77.5
1996,114.7
1997,54.5
1998,62.6
