UF;Codigo;Cidade;Nome Posto;Latitude;Longitude
AC;1069000;ASSIS BRASIL;ASSIS BRASIL;-10,94361111;-69,56555556
AC;1168001;BRASILEIA;BRASILEIA;-11,02333333;-68,735
AC;968004;BUJARI;FAZENDA CANARI;-9,566666667;-68,28333333
AC;1067003;CAPIXABA;VILA CAPIXABA;-10,57583333;-67,67666667
AC;772000;CRUZEIRO DO SUL;CRUZEIRO DO SUL;-7,611111111;-72,68111111
AC;773000;CRUZEIRO DO SUL;SERRA DO MOA;-7,435555556;-73,65222222
AC;870002;FEIJO;FEIJO;-8,163611111;-70,35638889
AC;870003;FEIJO;SERINGAL SANTA HELENA;-8,685833333;-70,55111111
AC;869000;MANOEL URBANO;MANOEL URBANO;-8,884166667;-69,26805556
AC;872000;MARECHAL THAUMATURGO;THAUMATURGO;-8,935277778;-72,785
AC;972000;MARECHAL THAUMATURGO;FOZ DO BREU;-9,401666667;-72,7025
AC;1067002;PLACIDO DE CASTRO;PLACIDO DE CASTRO;-10,32416667;-67,18861111
AC;872001;PORTO WALTER;PORTO WALTER;-8,2675;-72,73444444
AC;967000;RIO BRANCO;RIO BRANCO;-9,975833333;-67,8
AC;968003;SENA MADUREIRA;SERINGAL SAO JOSE;-9,374444444;-68,72388889
AC;968005;SENA MADUREIRA;SENA MADUREIRA;-9,065833333;-68,65972222
AC;969001;SENA MADUREIRA;SERINGAL GUARANY;-9,110277778;-68,99333333
AC;967005;SENADOR GUIOMARD;SANTA ROSA;-9,888055556;-67,13916667
AC;771001;TARAUACA;FAZENDA PARANACRE;-7,951111111;-71,48222222
AC;772003;TARAUACA;SERINGAL BOM FUTURO;-7,850277778;-72,01916667
AC;1068000;XAPURI;XAPURI;-10,64972222;-68,50666667
AL;937007;AGUA BRANCA;AGUA BRANCA-1;-9,283333333;-37,93333333
AL;937008;AGUA BRANCA;AGUA BRANCA-2;-9,28;-37,9
AL;936070;ANADIA;ANADIA;-9,683611111;-36,30361111
AL;936066;ARAPIRACA;ARAPIRACA;-9,75;-36,65
AL;936010;ATALAIA;ATALAIA;-9,516666667;-36,01666667
AL;937040;BATALHA;CAPIVARA II;-9,783055556;-37,00805556
AL;936016;BOCA DA MATA;FAZENDA VARRELA;-9,7;-36,05
AL;937012;CANAPI;CAPIA DA IGREJINHA;-9,183333333;-37,43333333
AL;1036012;CORURIPE;CORURIPE-1;-10,12861111;-36,28638889
AL;1036013;CORURIPE;CORURIPE-2;-10,11666667;-36,16666667
AL;1036062;CORURIPE;CAMACARI;-10,03138889;-36,30388889
AL;937013;DELMIRO GOUVEIA;DELMIRO GOUVEIA;-9,392777778;-37,99416667
AL;1036003;IGREJA NOVA;IGREJA NOVA;-10,11666667;-36,65
AL;835139;JACUIPE;JACUIPE;-8,841944444;-35,4475
AL;936020;JUNQUEIRO;JUNQUEIRO;-9,933333333;-36,48333333
AL;936022;LAGOA DA CANOA;LAGOA DA CANOA;-9,828611111;-36,50944444
AL;936026;LIMOEIRO DE ANADIA;LIMOEIRO DE ANADIA;-9,744722222;-37,1025
AL;935004;MACEIO;MACEIO (Tabuleiro);-9,551111111;-35,77
AL;935005;MACEIO;MACEIO;-9,566666667;-35,78333333
AL;935024;MACEIO;SAUDE;-9,533333333;-35,63333333
