UF,Codigo,Cidade,Nome Posto,Latitude,Longitude
AC,1069000,ASSIS BRASIL,ASSIS BRASIL,-10.943611111111112,-69.56555555555555
AC,1168001,BRASILEIA,BRASILEIA,-11.023333333333333,-68.735
AC,968004,BUJARI,FAZENDA CANARI,-9.566666666666666,-68.28333333333333
AC,1067003,CAPIXABA,VILA CAPIXABA,-10.575833333333334,-67.67666666666668
AC,772000,CRUZEIRO DO SUL,CRUZEIRO DO SUL,-7.611111111111111,-72.68111111111112
AC,773000,CRUZEIRO DO SUL,SERRA DO MOA,-7.435555555555556,-73.65222222222222
AC,870002,FEIJO,FEIJO,-8.163611111111111,-70.35638888888889
AC,870003,FEIJO,SERINGAL SANTA HELENA,-8.685833333333333,-70.55111111111111
AC,869000,MANOEL URBANO,MANOEL URBANO,-8.884166666666665,-69.26805555555555
AC,872000,MARECHAL THAUMATURGO,THAUMATURGO,-8.935277777777777,-72.785
AC,972000,MARECHAL THAUMATURGO,FOZ DO BREU,-9.401666666666667,-72.7025
AC,1067002,PLACIDO DE CASTRO,PLACIDO DE CASTRO,-10.324166666666667,-67.18861111111111
AC,872001,PORTO WALTER,PORTO WALTER,-8.2675,-72.73444444444445
AC,967000,RIO BRANCO,RIO BRANCO,-9.975833333333334,-67.8
AC,968003,SENA MADUREIRA,SERINGAL SAO JOSE,-9.374444444444444,-68.7238888888889
AC,968005,SENA MADUREIRA,SENA MADUREIRA,-9.065833333333334,-68.65972222222223
AC,969001,SENA MADUREIRA,SERINGAL GUARANY,-9.110277777777778,-68.99333333333334
AC,967005,SENADOR GUIOMARD,SANTA ROSA,-9.888055555555555,-67.13916666666667
AC,771001,TARAUACA,FAZENDA PARANACRE,-7.9511111111111115,-71.48222222222222
AC,772003,TARAUACA,SERINGAL BOM FUTURO,-7.8502777777777775,-72.01916666666666
AC,1068000,XAPURI,XAPURI,-10.649722222222222,-68.50666666666666
AL,937007,AGUA BRANCA,AGUA BRANCA-1,-9.283333333333333,-37.93333333333333
AL,937008,AGUA BRANCA,AGUA BRANCA-2,-9.280000000000001,-37.9
AL,936070,ANADIA,ANADIA,-9.68361111111111,-36.30361111111111
AL,936066,ARAPIRACA,ARAPIRACA,-9.75,-36.65
AL,936010,ATALAIA,ATALAIA,-9.516666666666667,-36.016666666666666
AL,937040,BATALHA,CAPIVARA II,-9.783055555555556,-37.00805555555556
AL,936016,BOCA DA MATA,FAZENDA VARRELA,-9.7,-36.05
AL,937012,CANAPI,CAPIA DA IGREJINHA,-9.183333333333334,-37.43333333333333
AL,1036012,CORURIPE,CORURIPE-1,-10.12861111111111,-36.28638888888889
AL,1036013,CORURIPE,CORURIPE-2,-10.116666666666667,-36.166666666666664
AL,1036062,CORURIPE,CAMACARI,-10.03138888888889,-36.303888888888885
AL,937013,DELMIRO GOUVEIA,DELMIRO GOUVEIA,-9.392777777777777,-37.994166666666665
AL,1036003,IGREJA NOVA,IGREJA NOVA,-10.116666666666667,-36.65
AL,835139,JACUIPE,JACUIPE,-8.841944444444445,-35.4475
AL,936020,JUNQUEIRO,JUNQUEIRO,-9.933333333333334,-36.483333333333334
AL,936022,LAGOA DA CANOA,LAGOA DA CANOA,-9.82861111111111,-36.50944444444445
AL,936026,LIMOEIRO DE ANADIA,LIMOEIRO DE ANADIA,-9.74472222222222,-37.1025
AL,935004,MACEIO,MACEIO (Tabuleiro),-9.551111111111112,-35.769999999999996
AL,935005,MACEIO,MACEIO,-9.566666666666666,-35.78333333333333
AL,935024,MACEIO,SAUDE,-9.533333333333333,-35.63333333333333
AL,936028,MAJOR ISIDORO,MAJOR ISIDORO,-9.533333333333333,-36.983333333333334
AL,935057,MARECHAL DEODORO,MARECHAL DEODORO,-9.716388888888888,-35.891666666666666
AL,937014,MATA GRANDE,MATA GRANDE,-9.133333333333333,-37.733333333333334
AL,935011,MATRIZ DE CAMARAGIBE,MATRIZ DE CAMARAGIBE,-9.166666666666666,-35.516666666666666
AL,935012,MURICI,MURICI - PONTE,-9.313611111111111,-35.94972222222222
AL,936035,PALMEIRA DOS INDIOS,PALMEIRA DOS INDIOS,-9.42,-36.62
AL,937018,PAO DE ACUCAR,PAO DE ACUCAR,-9.74861111111111,-37.44972222222222
AL,935013,PASSO DE CAMARAGIBE,PASSO DE CAMARAGIBE,-9.233333333333333,-35.483333333333334
AL,1036005,PENEDO,PENEDO,-10.285,-36.55638888888888
AL,1036007,PIACABUCU,PIACABUCU,-10.40638888888889,-36.42611111111111
AL,1036050,PIACABUCU,PONTAL DA BARRA,-10.483333333333333,-36.4
AL,935014,PILAR,PILAR (MANGUABA)  ,-9.6,-35.9
AL,937023,PIRANHAS,PIRANHAS,-9.626111111111111,-37.75611111111111
AL,937004,POCO DAS TRINCHEIRAS,POCO DAS TRINCHEIRAS,-9.216666666666667,-37.28333333333333
AL,935016,PORTO CALVO,PORTO CALVO,-9.066666666666666,-35.4
AL,935018,PORTO DE PEDRAS,PORTO DE PEDRAS,-9.18,-35.43
AL,935019,PORTO DE PEDRAS,PORTO DE PEDRAS (DNOS),-9.166666666666666,-35.3
AL,935028,PORTO DE PEDRAS,TATUAMUNHA,-9.233333333333333,-35.35
AL,1036009,PORTO REAL DO COLEGIO,PORTO REAL DO COLEGIO,-10.183333333333334,-36.833333333333336
AL,936041,QUEBRANGULO,QUEBRANGULO,-9.302222222222223,-36.47277777777778
AL,936121,QUEBRANGULO,VILA SAO FRANCISCO,-9.366388888888888,-36.419444444444444
AL,935021,RIO LARGO,RIO LARGO,-9.483333333333333,-35.833333333333336
AL,935056,RIO LARGO,FAZENDA BOA FORTUNA,-9.4675,-35.85638888888889
AL,937032,SANTANA DO IPANEMA,SANTANA DO IPANEMA,-9.372777777777777,-37.24527777777778
AL,936114,SANTANA DO MUNDAU,SANTANA DO MUNDAU,-9.168888888888889,-36.219722222222224
AL,936112,SAO JOSE DA LAJE,SAO JOSE DA LAJE,-9.004166666666666,-36.051111111111105
AL,935025,SAO LUIS DO QUITUNDE,SAO LUIS DO QUITUNDE,-9.333333333333334,-35.55
AL,936048,SAO MIGUEL DOS CAMPOS,SAO MIGUEL DOS CAMPOS,-9.783333333333333,-36.1
