UF,TO
Cidade,DIANOPOLIS
Nome Posto,DIANOPOLIS
Latitude,-11.625277777777779
Longitude,-46.81055555555555
Codigo,1146000
Qtd. Anos,48
Ano,Maxima
1971,80.2
1972,73
1973,91.3
1974,70.6
1975,90.3
1976,35
1977,70.7
1978,57.6
1979,117.4
1980,58.6
1981,75.9
1982,56.2
1983,72.1
1984,58.4
1985,69.2
1986,56.2
1987,60.4
1988,50.4
1989,74
1991,125.7
1992,99
1993,56.8
1994,89
1995,96.2
1996,96.9
1997,84.4
1998,71.4
1999,85.7
2000,65.1
2001,65.7
2002,61.8
2003,80.6
2004,58.2
2005,121.5
2006,92.6
2007,36.2
2008,78.7
2009,91.4
2010,96.3
2011,99.4
2012,68.8
2013,100.2
2014,111.5
2015,136.1
2016,90.2
2017,127.6
2018,82.3
2019,42.3
